"Payer","ชื่อหน่วยงาน","สิทธิ","ประเภท","จังหวัด","ชื่อย่อ"
"11139","โรงพยาบาลแม่ออน",,,"เชียงใหม่","รพ.รัฐบาล"
"11140","โรงพยาบาลแม่ทา",,,"ลำพูน","รพ.รัฐบาล"
"11141","โรงพยาบาลบ้านโฮ่ง",,,"ลำพูน","รพ.รัฐบาล"
"11143","โรงพยาบาลทุ่งหัวช้าง",,,"ลำพูน","รพ.รัฐบาล"
"11144","โรงพยาบาลป่าซาง",,,"ลำพูน","รพ.รัฐบาล"
"11145","โรงพยาบาลบ้านธิ",,,"ลำพูน","รพ.รัฐบาล"
"11146","โรงพยาบาลแม่เมาะ",,,"ลำปาง","รพ.รัฐบาล"
"11147","โรงพยาบาลเกาะคา",,,"ลำปาง","รพ.รัฐบาล"
"11148","โรงพยาบาลเสริมงาม",,,"ลำปาง","รพ.รัฐบาล"
"11149","โรงพยาบาลงาว",,,"ลำปาง","รพ.รัฐบาล"
"11150","โรงพยาบาลแจ้ห่ม",,,"ลำปาง","รพ.รัฐบาล"
"11151","โรงพยาบาลวังเหนือ",,,"ลำปาง","รพ.รัฐบาล"
"11152","โรงพยาบาลเถิน",,,"ลำปาง","รพ.รัฐบาล"
"11153","โรงพยาบาลแม่พริก",,,"ลำปาง","รพ.รัฐบาล"
"11154","โรงพยาบาลแม่ทะ",,,"ลำปาง","รพ.รัฐบาล"
"11155","โรงพยาบาลสบปราบ",,,"ลำปาง","รพ.รัฐบาล"
"11156","โรงพยาบาลห้างฉัตร",,,"ลำปาง","รพ.รัฐบาล"
"11157","โรงพยาบาลเมืองปาน",,,"ลำปาง","รพ.รัฐบาล"
"11158","โรงพยาบาลตรอน",,,"อุตรดิตถ์","รพ.รัฐบาล"
"11159","โรงพยาบาลท่าปลา",,,"อุตรดิตถ์","รพ.รัฐบาล"
"11160","โรงพยาบาลน้ำปาด",,,"อุตรดิตถ์","รพ.รัฐบาล"
"11161","โรงพยาบาลฟากท่า",,,"อุตรดิตถ์","รพ.รัฐบาล"
"11162","โรงพยาบาลบ้านโคก",,,"อุตรดิตถ์","รพ.รัฐบาล"
"11163","โรงพยาบาลพิชัย",,,"อุตรดิตถ์","รพ.รัฐบาล"
"11164","โรงพยาบาลลับแล",,,"อุตรดิตถ์","รพ.รัฐบาล"
"11165","โรงพยาบาลทองแสนขัน",,,"อุตรดิตถ์","รพ.รัฐบาล"
"11166","โรงพยาบาลร้องกวาง",,,"แพร่","รพ.รัฐบาล"
"11167","โรงพยาบาลลอง",,,"แพร่","รพ.รัฐบาล"
"11169","โรงพยาบาลสูงเม่น",,,"แพร่","รพ.รัฐบาล"
"11170","โรงพยาบาลสอง",,,"แพร่","รพ.รัฐบาล"
"11171","โรงพยาบาลวังชิ้น",,,"แพร่","รพ.รัฐบาล"
"11172","โรงพยาบาลหนองม่วงไข่",,,"แพร่","รพ.รัฐบาล"
"11173","โรงพยาบาลแม่จริม",,,"น่าน","รพ.รัฐบาล"
"11174","โรงพยาบาลบ้านหลวง",,,"น่าน","รพ.รัฐบาล"
"11175","โรงพยาบาลนาน้อย",,,"น่าน","รพ.รัฐบาล"
"11176","โรงพยาบาลท่าวังผา",,,"น่าน","รพ.รัฐบาล"
"11177","โรงพยาบาลเวียงสา",,,"น่าน","รพ.รัฐบาล"
"11178","โรงพยาบาลทุ่งช้าง",,,"น่าน","รพ.รัฐบาล"
"11179","โรงพยาบาลเชียงกลาง",,,"น่าน","รพ.รัฐบาล"
"11180","โรงพยาบาลนาหมื่น",,,"น่าน","รพ.รัฐบาล"
"11181","โรงพยาบาลสันติสุข",,,"น่าน","รพ.รัฐบาล"
"11182","โรงพยาบาลบ่อเกลือ",,,"น่าน","รพ.รัฐบาล"
"11183","โรงพยาบาลสองแคว",,,"น่าน","รพ.รัฐบาล"
"11184","โรงพยาบาลจุน",,,"พะเยา","รพ.รัฐบาล"
"11185","โรงพยาบาลเชียงม่วน",,,"พะเยา","รพ.รัฐบาล"
"11186","โรงพยาบาลดอกคำใต้",,,"พะเยา","รพ.รัฐบาล"
"11187","โรงพยาบาลปง",,,"พะเยา","รพ.รัฐบาล"
"11188","โรงพยาบาลแม่ใจ",,,"พะเยา","รพ.รัฐบาล"
"11189","โรงพยาบาลเทิง",,,"เชียงราย","รพ.รัฐบาล"
"11190","โรงพยาบาลพาน",,,"เชียงราย","รพ.รัฐบาล"
"11191","โรงพยาบาลป่าแดด",,,"เชียงราย","รพ.รัฐบาล"
"11192","โรงพยาบาลแม่จัน",,,"เชียงราย","รพ.รัฐบาล"
"11193","โรงพยาบาลเชียงแสน",,,"เชียงราย","รพ.รัฐบาล"
"11194","โรงพยาบาลแม่สาย",,,"เชียงราย","รพ.รัฐบาล"
"11195","โรงพยาบาลแม่สรวย",,,"เชียงราย","รพ.รัฐบาล"
"11196","โรงพยาบาลเวียงป่าเป้า",,,"เชียงราย","รพ.รัฐบาล"
"11197","โรงพยาบาลพญาเม็งราย",,,"เชียงราย","รพ.รัฐบาล"
"11198","โรงพยาบาลเวียงแก่น",,,"เชียงราย","รพ.รัฐบาล"
"11199","โรงพยาบาลขุนตาล",,,"เชียงราย","รพ.รัฐบาล"
"11200","โรงพยาบาลแม่ฟ้าหลวง",,,"เชียงราย","รพ.รัฐบาล"
"11201","โรงพยาบาลแม่ลาว",,,"เชียงราย","รพ.รัฐบาล"
"11202","โรงพยาบาลเวียงเชียงรุ้ง",,,"เชียงราย","รพ.รัฐบาล"
"11203","โรงพยาบาลขุนยวม",,,"แม่ฮ่องสอน","รพ.รัฐบาล"
"11204","โรงพยาบาลปาย",,,"แม่ฮ่องสอน","รพ.รัฐบาล"
"11205","โรงพยาบาลแม่สะเรียง",,,"แม่ฮ่องสอน","รพ.รัฐบาล"
"11206","โรงพยาบาลแม่ลาน้อย",,,"แม่ฮ่องสอน","รพ.รัฐบาล"
"11207","โรงพยาบาลสบเมย",,,"แม่ฮ่องสอน","รพ.รัฐบาล"
"11208","โรงพยาบาลปางมะผ้า",,,"แม่ฮ่องสอน","รพ.รัฐบาล"
"11209","โรงพยาบาลโกรกพระ",,,"นครสวรรค์","รพ.รัฐบาล"
"11210","โรงพยาบาลชุมแสง",,,"นครสวรรค์","รพ.รัฐบาล"
"11211","โรงพยาบาลหนองบัว",,,"นครสวรรค์","รพ.รัฐบาล"
"11212","โรงพยาบาลบรรพตพิสัย",,,"นครสวรรค์","รพ.รัฐบาล"
"11213","โรงพยาบาลเก้าเลี้ยว",,,"นครสวรรค์","รพ.รัฐบาล"
"11214","โรงพยาบาลตาคลี",,,"นครสวรรค์","รพ.รัฐบาล"
"11215","โรงพยาบาลท่าตะโก",,,"นครสวรรค์","รพ.รัฐบาล"
"11216","โรงพยาบาลไพศาลี",,,"นครสวรรค์","รพ.รัฐบาล"
"11217","โรงพยาบาลพยุหะคีรี",,,"นครสวรรค์","รพ.รัฐบาล"
"11218","โรงพยาบาลลาดยาว",,,"นครสวรรค์","รพ.รัฐบาล"
"11219","โรงพยาบาลตากฟ้า",,,"นครสวรรค์","รพ.รัฐบาล"
"11220","โรงพยาบาลแม่วงก์",,,"นครสวรรค์","รพ.รัฐบาล"
"11221","โรงพยาบาลทัพทัน",,,"อุทัยธานี","รพ.รัฐบาล"
"11222","โรงพยาบาลสว่างอารมณ์",,,"อุทัยธานี","รพ.รัฐบาล"
"11223","โรงพยาบาลหนองฉาง",,,"อุทัยธานี","รพ.รัฐบาล"
"11224","โรงพยาบาลหนองขาหย่าง",,,"อุทัยธานี","รพ.รัฐบาล"
"11225","โรงพยาบาลบ้านไร่",,,"อุทัยธานี","รพ.รัฐบาล"
"11226","โรงพยาบาลลานสัก",,,"อุทัยธานี","รพ.รัฐบาล"
"11227","โรงพยาบาลห้วยคต",,,"อุทัยธานี","รพ.รัฐบาล"
"11228","โรงพยาบาลทุ่งโพธิ์ทะเล",,,"กำแพงเพชร","รพ.รัฐบาล"
"11229","โรงพยาบาลไทรงาม",,,"กำแพงเพชร","รพ.รัฐบาล"
"11230","โรงพยาบาลคลองลาน",,,"กำแพงเพชร","รพ.รัฐบาล"
"11231","โรงพยาบาลขาณุวรลักษบุรี",,,"กำแพงเพชร","รพ.รัฐบาล"
"11232","โรงพยาบาลคลองขลุง",,,"กำแพงเพชร","รพ.รัฐบาล"
"11233","โรงพยาบาลพรานกระต่าย",,,"กำแพงเพชร","รพ.รัฐบาล"
"11234","โรงพยาบาลลานกระบือ",,,"กำแพงเพชร","รพ.รัฐบาล"
"11235","โรงพยาบาลทรายทองวัฒนา",,,"กำแพงเพชร","รพ.รัฐบาล"
"11236","โรงพยาบาลปางศิลาทอง",,,"กำแพงเพชร","รพ.รัฐบาล"
"11238","โรงพยาบาลบ้านตาก",,,"ตาก","รพ.รัฐบาล"
"11239","โรงพยาบาลสามเงา",,,"ตาก","รพ.รัฐบาล"
"11240","โรงพยาบาลแม่ระมาด",,,"ตาก","รพ.รัฐบาล"
"11241","โรงพยาบาลท่าสองยาง",,,"ตาก","รพ.รัฐบาล"
"11242","โรงพยาบาลพบพระ",,,"ตาก","รพ.รัฐบาล"
"11243","โรงพยาบาลอุ้มผาง",,,"ตาก","รพ.รัฐบาล"
"11244","โรงพยาบาลบ้านด่านลานหอย",,,"สุโขทัย","รพ.รัฐบาล"
"11245","โรงพยาบาลคีรีมาศ",,,"สุโขทัย","รพ.รัฐบาล"
"11246","โรงพยาบาลกงไกรลาศ",,,"สุโขทัย","รพ.รัฐบาล"
"11247","โรงพยาบาลศรีสัชนาลัย",,,"สุโขทัย","รพ.รัฐบาล"
"11248","โรงพยาบาลสวรรคโลก",,,"สุโขทัย","รพ.รัฐบาล"
"11250","โรงพยาบาลทุ่งเสลี่ยม",,,"สุโขทัย","รพ.รัฐบาล"
"11251","โรงพยาบาลชาติตระการ",,,"พิษณุโลก","รพ.รัฐบาล"
"11252","โรงพยาบาลบางระกำ",,,"พิษณุโลก","รพ.รัฐบาล"
"11253","โรงพยาบาลบางกระทุ่ม",,,"พิษณุโลก","รพ.รัฐบาล"
"11254","โรงพยาบาลพรหมพิราม",,,"พิษณุโลก","รพ.รัฐบาล"
"11255","โรงพยาบาลวัดโบสถ์",,,"พิษณุโลก","รพ.รัฐบาล"
"11256","โรงพยาบาลวังทอง",,,"พิษณุโลก","รพ.รัฐบาล"
"11257","โรงพยาบาลเนินมะปราง",,,"พิษณุโลก","รพ.รัฐบาล"
"11258","โรงพยาบาลวังทรายพูน",,,"พิจิตร","รพ.รัฐบาล"
"11259","โรงพยาบาลโพธิ์ประทับช้าง",,,"พิจิตร","รพ.รัฐบาล"
"11260","โรงพยาบาลบางมูลนาก",,,"พิจิตร","รพ.รัฐบาล"
"11261","โรงพยาบาลโพทะเล",,,"พิจิตร","รพ.รัฐบาล"
"11262","โรงพยาบาลสามง่าม",,,"พิจิตร","รพ.รัฐบาล"
"11263","โรงพยาบาลทับคล้อ",,,"พิจิตร","รพ.รัฐบาล"
"11264","โรงพยาบาลชนแดน",,,"เพชรบูรณ์","รพ.รัฐบาล"
"11265","โรงพยาบาลหล่มสัก",,,"เพชรบูรณ์","รพ.รัฐบาล"
"11266","โรงพยาบาลวิเชียรบุรี",,,"เพชรบูรณ์","รพ.รัฐบาล"
"11267","โรงพยาบาลศรีเทพ",,,"เพชรบูรณ์","รพ.รัฐบาล"
"11268","โรงพยาบาลหนองไผ่",,,"เพชรบูรณ์","รพ.รัฐบาล"
"11269","โรงพยาบาลบึงสามพัน",,,"เพชรบูรณ์","รพ.รัฐบาล"
11270,"โรงพยาบาลน้ำหนาว ",,,"เพชรบูรณ์","รพ.รัฐบาล"
"11271","โรงพยาบาลวังโป่ง",,,"เพชรบูรณ์","รพ.รัฐบาล"
"11272","โรงพยาบาลเขาค้อ",,,"เพชรบูรณ์","รพ.รัฐบาล"
"11273","โรงพยาบาลสวนผึ้ง",,,"ราชบุรี","รพ.รัฐบาล"
"11274","โรงพยาบาลบางแพ",,,"ราชบุรี","รพ.รัฐบาล"
"11275","โรงพยาบาลเจ็ดเสมียน",,,"ราชบุรี","รพ.รัฐบาล"
"11276","โรงพยาบาลปากท่อ",,,"ราชบุรี","รพ.รัฐบาล"
"11277","โรงพยาบาลวัดเพลง",,,"ราชบุรี","รพ.รัฐบาล"
"11278","โรงพยาบาลไทรโยค",,,"กาญจนบุรี","รพ.รัฐบาล"
"11279","โรงพยาบาลสมเด็จพระปิยะมหาราชรมณียเขต",,,"กาญจนบุรี","รพ.รัฐบาล"
"11280","โรงพยาบาลบ่อพลอย",,,"กาญจนบุรี","รพ.รัฐบาล"
"11281","โรงพยาบาลท่ากระดาน",,,"กาญจนบุรี","รพ.รัฐบาล"
11282,"โรงพยาบาลสมเด็จพระสังฆราชองค์ที่ 19",,,"กาญจนบุรี","รพ.รัฐบาล"
"11283","โรงพยาบาลทองผาภูมิ",,,"กาญจนบุรี","รพ.รัฐบาล"
"11284","โรงพยาบาลสังขละบุรี",,,"กาญจนบุรี","รพ.รัฐบาล"
"11285","โรงพยาบาลเจ้าคุณไพบูลย์พนมทวน",,,"กาญจนบุรี","รพ.รัฐบาล"
"11286","โรงพยาบาลเลาขวัญ",,,"กาญจนบุรี","รพ.รัฐบาล"
"11287","โรงพยาบาลด่านมะขามเตี้ย",,,"กาญจนบุรี","รพ.รัฐบาล"
"11288","โรงพยาบาลสถานพระบารมี",,,"กาญจนบุรี","รพ.รัฐบาล"
"11289","โรงพยาบาลเดิมบางนางบวช",,,"สุพรรณบุรี","รพ.รัฐบาล"
"11290","โรงพยาบาลด่านช้าง",,,"สุพรรณบุรี","รพ.รัฐบาล"
"11291","โรงพยาบาลบางปลาม้า",,,"สุพรรณบุรี","รพ.รัฐบาล"
"11292","โรงพยาบาลศรีประจันต์",,,"สุพรรณบุรี","รพ.รัฐบาล"
"11293","โรงพยาบาลดอนเจดีย์",,,"สุพรรณบุรี","รพ.รัฐบาล"
"11294","โรงพยาบาลสามชุก",,,"สุพรรณบุรี","รพ.รัฐบาล"
"11295","โรงพยาบาลอู่ทอง",,,"สุพรรณบุรี","รพ.รัฐบาล"
"11296","โรงพยาบาลหนองหญ้าไซ",,,"สุพรรณบุรี","รพ.รัฐบาล"
"11297","โรงพยาบาลกำแพงแสน",,,"นครปฐม","รพ.รัฐบาล"
"11298","โรงพยาบาลนครชัยศรี",,,"นครปฐม","รพ.รัฐบาล"
"11299","โรงพยาบาลห้วยพลู",,,"นครปฐม","รพ.รัฐบาล"
"11300","โรงพยาบาลดอนตูม",,,"นครปฐม","รพ.รัฐบาล"
"11301","โรงพยาบาลบางเลน",,,"นครปฐม","รพ.รัฐบาล"
"11302","โรงพยาบาลสามพราน",,,"นครปฐม","รพ.รัฐบาล"
"11303","โรงพยาบาลพุทธมณฑล",,,"นครปฐม","รพ.รัฐบาล"
"11304","โรงพยาบาลกระทุ่มแบน",,,"สมุทรสาคร","รพ.รัฐบาล"
"11305","โรงพยาบาลบ้านแพ้ว(องค์การมหาชน)",,,"สมุทรสาคร","รพ.รัฐบาล"
"11306","โรงพยาบาลนภาลัย",,,"สมุทรสงคราม","รพ.รัฐบาล"
"11307","โรงพยาบาลอัมพวา",,,"สมุทรสงคราม","รพ.รัฐบาล"
"11308","โรงพยาบาลเขาย้อย",,,"เพชรบุรี","รพ.รัฐบาล"
"11309","โรงพยาบาลหนองหญ้าปล้อง",,,"เพชรบุรี","รพ.รัฐบาล"
"11310","โรงพยาบาลชะอำ",,,"เพชรบุรี","รพ.รัฐบาล"
"11311","โรงพยาบาลท่ายาง",,,"เพชรบุรี","รพ.รัฐบาล"
"11312","โรงพยาบาลบ้านลาด",,,"เพชรบุรี","รพ.รัฐบาล"
"11313","โรงพยาบาลบ้านแหลม",,,"เพชรบุรี","รพ.รัฐบาล"
"11314","โรงพยาบาลแก่งกระจาน",,,"เพชรบุรี","รพ.รัฐบาล"
"11315","โรงพยาบาลกุยบุรี",,,"ประจวบคีรีขันธ์","รพ.รัฐบาล"
"11317","โรงพยาบาลบางสะพาน",,,"ประจวบคีรีขันธ์","รพ.รัฐบาล"
"11318","โรงพยาบาลบางสะพานน้อย",,,"ประจวบคีรีขันธ์","รพ.รัฐบาล"
"11319","โรงพยาบาลปราณบุรี",,,"ประจวบคีรีขันธ์","รพ.รัฐบาล"
"11320","โรงพยาบาลหัวหิน",,,"ประจวบคีรีขันธ์","รพ.รัฐบาล"
"11321","โรงพยาบาลสามร้อยยอด",,,"ประจวบคีรีขันธ์","รพ.รัฐบาล"
"11322","โรงพยาบาลพรหมคีรี",,,"นครศรีธรรมราช","รพ.รัฐบาล"
"11323","โรงพยาบาลละอุ่น",,,"ระนอง","รพ.รัฐบาล"
"11324","โรงพยาบาลลานสะกา",,,"นครศรีธรรมราช","รพ.รัฐบาล"
"11325","โรงพยาบาลสมเด็จพระยุพราชฉวาง",,,"นครศรีธรรมราช","รพ.รัฐบาล"
"11326","โรงพยาบาลพิปูน",,,"นครศรีธรรมราช","รพ.รัฐบาล"
"11327","โรงพยาบาลเชียรใหญ่",,,"นครศรีธรรมราช","รพ.รัฐบาล"
"11328","โรงพยาบาลชะอวด",,,"นครศรีธรรมราช","รพ.รัฐบาล"
"11329","โรงพยาบาลท่าศาลา",,,"นครศรีธรรมราช","รพ.รัฐบาล"
"11330","โรงพยาบาลทุ่งสง",,,"นครศรีธรรมราช","รพ.รัฐบาล"
"11331","โรงพยาบาลนาบอน",,,"นครศรีธรรมราช","รพ.รัฐบาล"
"11332","โรงพยาบาลทุ่งใหญ่",,,"นครศรีธรรมราช","รพ.รัฐบาล"
"11333","โรงพยาบาลปากพนัง",,,"นครศรีธรรมราช","รพ.รัฐบาล"
"11334","โรงพยาบาลร่อนพิบูลย์",,,"นครศรีธรรมราช","รพ.รัฐบาล"
"11335","โรงพยาบาลสิชล",,,"นครศรีธรรมราช","รพ.รัฐบาล"
"11336","โรงพยาบาลขนอม",,,"นครศรีธรรมราช","รพ.รัฐบาล"
"11337","โรงพยาบาลหัวไทร",,,"นครศรีธรรมราช","รพ.รัฐบาล"
"11338","โรงพยาบาลบางขัน",,,"นครศรีธรรมราช","รพ.เอกชน"
"11339","โรงพยาบาลถ้ำพรรณรา",,,"นครศรีธรรมราช","รพ.รัฐบาล"
"11340","โรงพยาบาลเขาพนม",,,"กระบี่","รพ.รัฐบาล"
"11341","โรงพยาบาลเกาะลันตา",,,"กระบี่","รพ.รัฐบาล"
"11342","โรงพยาบาลคลองท่อม",,,"กระบี่","รพ.รัฐบาล"
"11343","โรงพยาบาลอ่าวลึก",,,"กระบี่","รพ.รัฐบาล"
"11344","โรงพยาบาลปลายพระยา",,,"กระบี่","รพ.รัฐบาล"
"11345","โรงพยาบาลลำทับ",,,"กระบี่","รพ.รัฐบาล"
"11346","โรงพยาบาลเหนือคลอง",,,"กระบี่","รพ.รัฐบาล"
"11347","โรงพยาบาลเกาะยาว",,,"พังงา","รพ.รัฐบาล"
"11348","โรงพยาบาลกะปงชัยพัฒน์",,,"พังงา","รพ.รัฐบาล"
"11349","โรงพยาบาลตะกั่วทุ่ง",,,"พังงา","รพ.รัฐบาล"
"11350","โรงพยาบาลบางไทร",,,"พังงา","รพ.รัฐบาล"
"11352","โรงพยาบาลคุระบุรี",,,"พังงา","รพ.รัฐบาล"
"11353","โรงพยาบาลทับปุด",,,"พังงา","รพ.รัฐบาล"
"11354","โรงพยาบาลท้ายเหมือง",,,"พังงา","รพ.รัฐบาล"
"11355","โรงพยาบาลป่าตอง",,,"ภูเก็ต","รพ.รัฐบาล"
"11356","โรงพยาบาลถลาง",,,"ภูเก็ต","รพ.รัฐบาล"
"11357","โรงพยาบาลกาญจนดิษฐ์",,,"สุราษฎร์ธานี","รพ.รัฐบาล"
"11358","โรงพยาบาลดอนสัก",,,"สุราษฎร์ธานี","รพ.รัฐบาล"
"11359","โรงพยาบาลเกาะพะงัน",,,"สุราษฎร์ธานี","รพ.รัฐบาล"
"11360","โรงพยาบาลไชยา",,,"สุราษฎร์ธานี","รพ.รัฐบาล"
"11361","โรงพยาบาลท่าชนะ",,,"สุราษฎร์ธานี","รพ.รัฐบาล"
"11362","โรงพยาบาลคีรีรัฐนิคม",,,"สุราษฎร์ธานี","รพ.รัฐบาล"
"11363","โรงพยาบาลบ้านตาขุน",,,"สุราษฎร์ธานี","รพ.รัฐบาล"
"11364","โรงพยาบาลพนม",,,"สุราษฎร์ธานี","รพ.รัฐบาล"
"11365","โรงพยาบาลท่าฉาง",,,"สุราษฎร์ธานี","รพ.รัฐบาล"
"11366","โรงพยาบาลบ้านนาสาร",,,"สุราษฎร์ธานี","รพ.รัฐบาล"
"11367","โรงพยาบาลบ้านนาเดิม",,,"สุราษฎร์ธานี","รพ.รัฐบาล"
"11368","โรงพยาบาลเคียน ซา",,,"สุราษฎร์ธานี","รพ.รัฐบาล"
"11369","โรงพยาบาลพระแสง",,,"สุราษฎร์ธานี","รพ.รัฐบาล"
"11370","โรงพยาบาลพุนพิน",,,"สุราษฎร์ธานี","รพ.รัฐบาล"
"11371","โรงพยาบาลชัยบุรี",,,"สุราษฎร์ธานี","รพ.รัฐบาล"
"11372","โรงพยาบาลกะเปอร์",,,"ระนอง","รพ.รัฐบาล"
"11373","โรงพยาบาลกระบุรี",,,"ระนอง","รพ.รัฐบาล"
"11374","โรงพยาบาลสุขสำราญ",,,"ระนอง","รพ.รัฐบาล"
"11375","โรงพยาบาลปากน้ำชุมพร",,,"ชุมพร","รพ.รัฐบาล"
"11376","โรงพยาบาลท่าแซะ",,,"ชุมพร","รพ.รัฐบาล"
"11377","โรงพยาบาลปะทิว",,,"ชุมพร","รพ.รัฐบาล"
"11378","โรงพยาบาลมาบอำมฤต",,,"ชุมพร","รพ.รัฐบาล"
"11379","โรงพยาบาลหลังสวน",,,"ชุมพร","รพ.รัฐบาล"
11380,"โรงพยาบาลชุมชนปากน้ำหลังสวน",,,"ชุมพร","รพ.รัฐบาล"
"11381","โรงพยาบาลละแม",,,"ชุมพร","รพ.รัฐบาล"
"11382","โรงพยาบาลพะโต๊ะ",,,"ชุมพร","รพ.รัฐบาล"
"11383","โรงพยาบาลสวี",,,"ชุมพร","รพ.รัฐบาล"
"11385","โรงพยาบาลทุ่งตะโก",,,"ชุมพร","รพ.รัฐบาล"
"11386","โรงพยาบาลสทิงพระ",,,"สงขลา","รพ.รัฐบาล"
"11387","โรงพยาบาลจะนะ",,,"สงขลา","รพ.รัฐบาล"
"11388","โรงพยาบาลสมเด็จพระบรมราชินีนาถ  จ.สงขลา",,,"สงขลา","รพ.รัฐบาล"
"11390","โรงพยาบาลเทพา",,,"สงขลา","รพ.รัฐบาล"
"11391","โรงพยาบาลสะบ้าย้อย",,,"สงขลา","รพ.รัฐบาล"
"11392","โรงพยาบาลระโนด",,,"สงขลา","รพ.รัฐบาล"
"11393","โรงพยาบาลกระแสสินธุ์",,,"สงขลา","รพ.รัฐบาล"
"11394","โรงพยาบาลรัตนภูมิ",,,"สงขลา","รพ.รัฐบาล"
"11395","โรงพยาบาลสะเดา",,,"สงขลา","รพ.รัฐบาล"
"11396","โรงพยาบาลนาหม่อม",,,"สงขลา","รพ.รัฐบาล"
"11397","โรงพยาบาลควนเนียง",,,"สงขลา","รพ.รัฐบาล"
"11398","โรงพยาบาลปาดังเบซาร์",,,"สงขลา","รพ.รัฐบาล"
"11399","โรงพยาบาลบางกล่ำ",,,"สงขลา","รพ.รัฐบาล"
"11400","โรงพยาบาลสิงหนคร",,,"สงขลา","รพ.รัฐบาล"
"11401","โรงพยาบาลคลองหอยโข่ง",,,"สงขลา","รพ.รัฐบาล"
"11402","โรงพยาบาลควนโดน",,,"สตูล","รพ.รัฐบาล"
"11403","โรงพยาบาลควนกาหลง",,,"สตูล","รพ.รัฐบาล"
"11404","โรงพยาบาลท่าแพ",,,"สตูล","รพ.รัฐบาล"
"11405","โรงพยาบาลละงู",,,"สตูล","รพ.รัฐบาล"
"11406","โรงพยาบาลทุ่งหว้า",,,"สตูล","รพ.รัฐบาล"
"11407","โรงพยาบาลกันตัง",,,"ตรัง","รพ.รัฐบาล"
"11408","โรงพยาบาลย่านตาขาว",,,"ตรัง","รพ.รัฐบาล"
"11409","โรงพยาบาลปะเหลียน",,,"ตรัง","รพ.รัฐบาล"
"11410","โรงพยาบาลสิเกา",,,"ตรัง","รพ.รัฐบาล"
"11411","โรงพยาบาลห้วยยอด",,,"ตรัง","รพ.รัฐบาล"
"11412","โรงพยาบาลวังวิเศษ",,,"ตรัง","รพ.รัฐบาล"
"11413","โรงพยาบาลนาโยง",,,"ตรัง","รพ.รัฐบาล"
"11414","โรงพยาบาลกงหรา",,,"พัทลุง","รพ.รัฐบาล"
"11415","โรงพยาบาลเขาชัยสน",,,"พัทลุง","รพ.รัฐบาล"
"11416","โรงพยาบาลตะโหมด",,,"พัทลุง","รพ.รัฐบาล"
"11417","โรงพยาบาลควนขนุน",,,"พัทลุง","รพ.รัฐบาล"
"11418","โรงพยาบาลปากพะยูน",,,"พัทลุง","รพ.รัฐบาล"
"11419","โรงพยาบาลศรีบรรพต",,,"พัทลุง","รพ.รัฐบาล"
"11420","โรงพยาบาลป่าบอน",,,"พัทลุง","รพ.รัฐบาล"
"11421","โรงพยาบาลบางแก้ว",,,"พัทลุง","รพ.รัฐบาล"
"11422","โรงพยาบาลป่าพะยอม",,,"พัทลุง","รพ.รัฐบาล"
"11423","โรงพยาบาลโคกโพธิ์",,,"ปัตตานี","รพ.รัฐบาล"
"11424","โรงพยาบาลหนองจิก",,,"ปัตตานี","รพ.รัฐบาล"
"11425","โรงพยาบาลปะนาเระ",,,"ปัตตานี","รพ.รัฐบาล"
"11426","โรงพยาบาลมายอ",,,"ปัตตานี","รพ.รัฐบาล"
"11427","โรงพยาบาลทุ่งยางแดง",,,"ปัตตานี","รพ.รัฐบาล"
"11428","โรงพยาบาลไม้แก่น",,,"ปัตตานี","รพ.รัฐบาล"
"11429","โรงพยาบาลยะหริ่ง",,,"ปัตตานี","รพ.รัฐบาล"
"11430","โรงพยาบาลยะรัง",,,"ปัตตานี","รพ.รัฐบาล"
"11431","โรงพยาบาลแม่ลาน",,,"ปัตตานี","รพ.รัฐบาล"
"11432","โรงพยาบาลบันนังสตา",,,"ยะลา","รพ.รัฐบาล"
"11433","โรงพยาบาลธารโต",,,"ยะลา","รพ.รัฐบาล"
"11434","โรงพยาบาลรามัน",,,"ยะลา","รพ.รัฐบาล"
"11435","โรงพยาบาลตากใบ",,,"นราธิวาส","รพ.รัฐบาล"
"11436","โรงพยาบาลบาเจาะ",,,"นราธิวาส","รพ.รัฐบาล"
"11437","โรงพยาบาลระแงะ",,,"นราธิวาส","รพ.รัฐบาล"
"11438","โรงพยาบาลรือเสาะ",,,"นราธิวาส","รพ.รัฐบาล"
"11439","โรงพยาบาลศรีสาคร",,,"นราธิวาส","รพ.รัฐบาล"
"11440","โรงพยาบาลแว้ง",,,"นราธิวาส","รพ.รัฐบาล"
"11441","โรงพยาบาลสุคิริน",,,"นราธิวาส","รพ.รัฐบาล"
"11442","โรงพยาบาลสุไหงปาดี",,,"นราธิวาส","รพ.รัฐบาล"
"11443","โรงพยาบาลสมเด็จพระยุพราชเดชอุดม",,,"อุบลราชธานี","รพ.รัฐบาล"
"11444","โรงพยาบาลสมเด็จพระยุพราชเลิงนกทา",,,"ยโสธร","รพ.รัฐบาล"
"11445","โรงพยาบาลสมเด็จพระยุพราชกระนวน",,,"ขอนแก่น","รพ.รัฐบาล"
"11446","โรงพยาบาลบ้านดุง",,,"อุดรธานี","รพ.รัฐบาล"
"11447","โรงพยาบาลด่านซ้าย",,,"เลย","รพ.รัฐบาล"
"11448","โรงพยาบาลสมเด็จพระยุพราชท่าบ่อ",,,"หนองคาย","รพ.รัฐบาล"
